Control Signal 1,Control Signal 2,PID Speed Control,Motor Speed 1,Motor Speed 2
150.0,150.0,0.0,100,100
99.4,99.70000000000002,-0.11400000000000432,100,100
93.9,93.2,0.2720000000000013,100,100
90.7,89.7,0.341999999999999,100,100
88.50000000000001,87.10000000000001,0.5440000000000015,100,100
84.4,82.0,0.9960000000000014,100,100
81.10000000000001,79.10000000000001,0.9359999999999997,100,100
77.7,74.50000000000001,1.5919999999999959,96.108,96.09200000000001
74.9,70.89999999999999,2.0320000000000062,92.868,92.932
71.0,66.8,2.348,88.652,89.148
68.3,63.7,2.8159999999999985,85.484,86.516
65.00000000000001,60.3,3.1820000000000075,81.81800000000001,83.482
61.5,55.7,3.965999999999999,77.534,79.666
58.7,52.1,4.624000000000005,74.076,76.724
55.4,48.0,5.376000000000004,70.024,73.376
51.9,44.0,6.078000000000004,65.822,70.078
49.1,40.300000000000004,7.001999999999999,62.098,67.302
45.5,36.50000000000001,7.692000000000002,57.808,64.19200000000001
42.4,33.00000000000001,8.544,53.855999999999995,61.54400000000001
39.2,28.8,9.636000000000006,49.56399999999999,58.43600000000001
36.0,25.700000000000003,10.330000000000002,45.67,56.03
32.5,22.6,11.012000000000004,41.488,53.61200000000001
28.8,18.200000000000003,12.110000000000001,36.69,50.31
24.900000000000002,15.100000000000001,12.584000000000007,32.316,47.68400000000001
22.3,11.7,13.752000000000002,28.547999999999995,45.452
19.6,8.600000000000001,14.672000000000002,24.927999999999997,43.272000000000006
16.2,3.9,16.006000000000004,20.194,39.906000000000006
13.000000000000002,0.6000000000000003,16.898000000000003,16.101999999999997,37.498000000000005
8.600000000000001,-4.800000000000001,18.26000000000001,10.339999999999993,33.46000000000001
5.2,-9.0,19.536,5.663999999999998,30.536
