Encoder 1,Encoder 2,PID Speed Control,Motor Speed 1,Motor Speed 2
0,0,0.0,15.0,15.0
0,0,0.0,15.0,15.0
2,2,0.0,15.00000000061818,15.00000000061818
5,4,6.305428712494177e-11,15.000000001791484,15.000000001299412
7,6,1.8543566682183156e-12,15.00000000308904,15.000000002474572
14,13,2.4728930014816793e-12,15.000000006179318,15.000000005566084
24,22,3.090894651336385e-12,15.000000010505953,15.000000009893956
33,32,3.7090739368750294e-12,15.000000016687126,15.000000016076365
41,42,4.327253222413674e-12,15.000000023486479,15.000000022876954
50,50,-1.2116314174193122e-10,15.000000028557402,15.000000028933254
59,58,1.2796311033014263e-10,15.000000033871887,15.000000033509634
68,65,4.945432507952319e-12,15.000000038940337,15.000000038332049
78,76,1.3167200485497687e-10,15.000000044377222,15.00000004278603
90,86,9.891042651588578e-12,15.000000053153512,15.000000051318755
102,97,1.378539771224041e-10,15.00000005920734,15.000000056392151
112,106,2.0647169662879606e-10,15.00000006655687,15.00000006202438
